id,idNumber,name,isPresent,isIncluded,timesSelected,timesAnswered,timesCorrect
1,ID-001,Yulia Salim,1,1,2,1,1
2,ID-002,Yulia Purnomo,1,1,0,0,0
3,ID-003,Dian Rahayu,1,1,0,0,0
4,ID-004,Hendra Setiawan,1,1,0,0,0
5,ID-005,Putri Utomo,1,1,4,4,1
6,ID-006,Gita Permana,1,1,1,1,0
7,ID-007,Wahyu Rahayu,1,1,1,1,0
8,ID-008,Bayu Rahman,1,1,3,3,0
9,ID-009,Yulia Kusuma,1,1,0,0,0
10,ID-010,Kartika Wahyuni,1,1,5,0,0
11,ID-011,Nina Astuti,1,1,2,1,1
12,ID-012,Yulia Anggraini,1,1,3,1,0
13,ID-013,Bayu Saputri,1,1,1,0,0
14,ID-014,Dian Yulianto,1,1,1,0,0
15,ID-015,Adit Wijaya,1,1,4,0,0
16,ID-016,Wahyu Salim,1,1,3,2,1
17,ID-017,Wahyu Anggraini,1,1,0,0,0
18,ID-018,Chandra Utomo,1,1,1,0,0
19,ID-019,Adit Nugroho,1,1,4,3,2
20,ID-020,Vina Kurniawan,1,1,2,2,1
21,ID-021,Fajar Pratama,1,1,0,0,0
22,ID-022,Kartika Pratama,1,1,5,3,1
23,ID-023,Hendra Astuti,1,1,1,1,1
24,ID-024,Fajar Wahyuni,1,1,0,0,0
25,ID-025,Dian Riyadi,1,1,2,0,0
26,ID-026,Budi Salim,1,1,1,0,0
27,ID-027,Surya Wahyuni,1,1,2,0,0
28,ID-028,Mega Sari,1,1,5,4,0
29,ID-029,Indah Sari,1,1,1,1,1
30,ID-030,Joko Utomo,1,1,5,2,2
31,ID-031,Yulia Wibowo,1,1,1,0,0
32,ID-032,Vina Suharto,1,1,4,3,1
33,ID-033,Kartika Lestari,1,1,1,1,0
34,ID-034,Gita Sari,1,1,5,4,1
35,ID-035,Surya Indrawan,1,1,3,2,0
36,ID-036,Zainal Santoso,1,1,0,0,0
37,ID-037,Ahmad Pratama,1,1,1,0,0
38,ID-038,Bayu Saputra,1,1,5,5,1
39,ID-039,Dewi Susanto,1,1,3,1,1
40,ID-040,Vina Yulianto,1,1,0,0,0
41,ID-041,Bayu Permana,1,1,4,1,0
42,ID-042,Indah Saputri,1,1,4,3,0
43,ID-043,Gita Pratiwi,1,1,1,0,0
44,ID-044,Dian Saputri,1,1,4,2,1
45,ID-045,Oscar Saputri,1,1,3,3,0
46,ID-046,Oscar Rahayu,1,1,5,2,1
47,ID-047,Fitri Utomo,1,1,5,3,0
48,ID-048,Rina Nugroho,1,1,0,0,0
49,ID-049,Budi Kusuma,1,1,3,3,2
50,ID-050,Kartika Utomo,1,1,1,1,1
51,ID-051,Bayu Santoso,1,1,2,0,0
52,ID-052,Hendra Wibowo,1,1,3,3,3
53,ID-053,Surya Hidayat,1,1,2,1,0
54,ID-054,Fajar Riyadi,1,1,5,4,1
55,ID-055,Indah Lestari,1,1,3,1,1
56,ID-056,Ahmad Permana,1,1,0,0,0
57,ID-057,Wahyu Mulyadi,1,1,0,0,0
58,ID-058,Fajar Rahman,1,1,1,0,0
59,ID-059,Nina Suharto,1,1,0,0,0
60,ID-060,Wahyu Lestari,1,1,1,1,0
61,ID-061,Utami Saputra,1,1,2,2,0
62,ID-062,Dian Salim,1,1,0,0,0
63,ID-063,Gita Indrawan,1,1,1,0,0
64,ID-064,Oscar Lestari,1,1,1,0,0
65,ID-065,Gita Suharto,1,1,4,4,0
66,ID-066,Wahyu Kusuma,1,1,4,1,0
67,ID-067,Dian Santoso,1,1,0,0,0
68,ID-068,Ahmad Rahayu,1,1,2,0,0
69,ID-069,Yulia Yulianto,1,1,2,0,0
70,ID-070,Wahyu Permana,1,1,3,1,1

