id,idNumber,name,isPresent,isIncluded,timesSelected,timesAnswered,timesCorrect
1,ID-001,Wahyu Indrawan,1,1,1,0,0
2,ID-002,Citra Nugroho,1,1,0,0,0
3,ID-003,Fitri Kurniawan,1,1,0,0,0
4,ID-004,Zainal Yulianto,1,1,2,0,0
5,ID-005,Rina Sari,1,1,4,3,2
6,ID-006,Tono Handayani,1,1,0,0,0
7,ID-007,Chandra Setiawan,1,1,2,2,1
8,ID-008,Bayu Pratama,1,1,0,0,0
9,ID-009,Eka Sari,1,1,4,0,0
10,ID-010,Eka Kurniawan,1,1,0,0,0
11,ID-011,Vina Astuti,1,1,5,4,3
12,ID-012,Endang Mulyadi,1,1,5,0,0
13,ID-013,Rina Permana,1,1,4,4,1
14,ID-014,Adit Utomo,1,1,3,1,0
15,ID-015,Tono Saputra,1,1,4,0,0
16,ID-016,Tono Salim,1,1,2,2,2
17,ID-017,Adit Suharto,1,1,3,2,0
18,ID-018,Lestari Rahayu,1,1,5,4,2
19,ID-019,Dewi Susanto,1,1,5,5,5
20,ID-020,Ahmad Riyadi,1,1,0,0,0
21,ID-021,Yulia Kusuma,1,1,4,0,0
22,ID-022,Hendra Wahyuni,1,1,1,0,0
23,ID-023,Yulia Handayani,1,1,5,4,1
24,ID-024,Adit Pratiwi,1,1,3,0,0
25,ID-025,Wahyu Lestari,1,1,3,3,2
26,ID-026,Tono Setiawan,1,1,4,4,2
27,ID-027,Yulia Saputra,1,1,4,3,3
28,ID-028,Chandra Astuti,1,1,4,4,0
29,ID-029,Zainal Nugroho,1,1,1,1,1
30,ID-030,Vina Permana,1,1,2,1,1
31,ID-031,Utami Astuti,1,1,1,1,0
32,ID-032,Mega Purnomo,1,1,1,1,1
33,ID-033,Dewi Salim,1,1,5,1,1
34,ID-034,Lestari Salim,1,1,0,0,0
35,ID-035,Oscar Astuti,1,1,1,0,0
36,ID-036,Surya Santoso,1,1,2,1,1
37,ID-037,Tono Suharto,1,1,5,4,4
38,ID-038,Adit Hidayat,1,1,1,1,1
39,ID-039,Fajar Sari,1,1,5,5,2
40,ID-040,Nina Suharto,1,1,1,1,0
41,ID-041,Lestari Wibowo,1,1,2,0,0
42,ID-042,Lestari Mulyadi,1,1,3,1,1
43,ID-043,Kartika Sari,1,1,2,0,0
44,ID-044,Endang Lestari,1,1,0,0,0
45,ID-045,Wahyu Kusuma,1,1,3,0,0
46,ID-046,Gita Mulyadi,1,1,5,2,2
47,ID-047,Citra Permana,1,1,0,0,0
48,ID-048,Nina Kusuma,1,1,5,4,2
49,ID-049,Zainal Suharto,1,1,1,1,1
50,ID-050,Mega Susanto,1,1,0,0,0
51,ID-051,Vina Handayani,1,1,1,1,1
52,ID-052,Hendra Yulianto,1,1,2,2,1
53,ID-053,Fitri Riyadi,1,1,0,0,0
54,ID-054,Endang Yulianto,1,1,1,0,0
55,ID-055,Budi Pratiwi,1,1,1,0,0
56,ID-056,Tono Lestari,1,1,0,0,0
57,ID-057,Zainal Hidayat,1,1,1,0,0
58,ID-058,Surya Susanto,1,1,5,2,1
59,ID-059,Utami Wahyuni,1,1,5,3,1
60,ID-060,Nina Hidayat,1,1,2,0,0
61,ID-061,Chandra Permana,1,1,4,1,0
62,ID-062,Yulia Indrawan,1,1,5,0,0
63,ID-063,Kartika Riyadi,1,1,2,2,1
64,ID-064,Fitri Susanto,1,1,0,0,0
65,ID-065,Mega Hidayat,1,1,1,1,0
66,ID-066,Fitri Susanto,1,1,2,2,2
67,ID-067,Nina Lestari,1,1,3,2,2
68,ID-068,Fajar Pratama,1,1,2,0,0
69,ID-069,Oscar Rahman,1,1,1,1,0
70,ID-070,Gita Indrawan,1,1,2,0,0
71,ID-071,Dian Santoso,1,1,1,0,0
72,ID-072,Surya Handayani,1,1,5,4,0
73,ID-073,Wahyu Rahman,1,1,5,3,1
74,ID-074,Bayu Lestari,1,1,5,1,0
75,ID-075,Joko Setiawan,1,1,1,0,0
76,ID-076,Adit Kurniawan,1,1,4,1,1
77,ID-077,Wahyu Indrawan,1,1,2,2,0
78,ID-078,Tono Wijaya,1,1,0,0,0
79,ID-079,Adit Hidayat,1,1,0,0,0
80,ID-080,Utami Suharto,1,1,2,0,0
81,ID-081,Bayu Kurniawan,1,1,2,2,1
82,ID-082,Zainal Kusuma,1,1,0,0,0
83,ID-083,Kartika Saputra,1,1,0,0,0
84,ID-084,Adit Kusuma,1,1,4,0,0
85,ID-085,Joko Hidayat,1,1,0,0,0
86,ID-086,Nina Setiawan,1,1,0,0,0
87,ID-087,Eka Permana,1,1,3,0,0
88,ID-088,Putri Purnomo,1,1,1,0,0
89,ID-089,Nina Pratiwi,1,1,0,0,0
90,ID-090,Citra Lestari,1,1,4,0,0
91,ID-091,Fajar Indrawan,1,1,0,0,0
92,ID-092,Chandra Yulianto,1,1,2,2,2
93,ID-093,Rina Handayani,1,1,2,0,0
94,ID-094,Utami Anggraini,1,1,0,0,0
95,ID-095,Tono Yulianto,1,1,5,2,0
96,ID-096,Eka Wahyuni,1,1,0,0,0
97,ID-097,Citra Suharto,1,1,2,0,0
98,ID-098,Ahmad Anggraini,1,1,4,2,1
99,ID-099,Wahyu Saputra,1,1,5,1,0
100,ID-100,Hendra Handayani,1,1,2,1,0

