id,idNumber,name,isPresent,isIncluded,timesSelected,timesAnswered,timesCorrect
1,ID-001,Eka Lestari,1,1,0,0,0
2,ID-002,Fitri Salim,1,1,5,0,0
3,ID-003,Utami Astuti,1,1,2,0,0
4,ID-004,Fajar Saputri,1,1,5,0,0
5,ID-005,Kartika Kusuma,1,1,2,2,2
6,ID-006,Adit Susanto,1,1,2,0,0
7,ID-007,Zainal Santoso,1,1,0,0,0
8,ID-008,Rina Wijaya,1,1,2,0,0
9,ID-009,Tono Sari,1,1,5,1,0
10,ID-010,Oscar Purnomo,1,1,2,1,0
11,ID-011,Lestari Anggraini,1,1,5,5,0
12,ID-012,Zainal Kurniawan,1,1,3,0,0
13,ID-013,Citra Handayani,1,1,3,3,1
14,ID-014,Nina Mulyadi,1,1,2,0,0
15,ID-015,Indah Salim,1,1,3,2,2
16,ID-016,Kartika Mulyadi,1,1,1,0,0
17,ID-017,Indah Saputra,1,1,0,0,0
18,ID-018,Indah Yulianto,1,1,0,0,0
19,ID-019,Vina Mulyadi,1,1,5,3,0
20,ID-020,Putri Kusuma,1,1,1,1,1
21,ID-021,Putri Salim,1,1,3,0,0
22,ID-022,Vina Saputri,1,1,2,0,0
23,ID-023,Tono Rahman,1,1,4,1,1
24,ID-024,Tono Sari,1,1,1,0,0
25,ID-025,Oscar Pratama,1,1,4,3,1
26,ID-026,Nina Suharto,1,1,4,0,0
27,ID-027,Endang Sari,1,1,3,2,0
28,ID-028,Indah Rahman,1,1,5,1,0
29,ID-029,Mega Pratama,1,1,2,0,0
30,ID-030,Hendra Wibowo,1,1,2,2,0
31,ID-031,Mega Riyadi,1,1,1,1,0
32,ID-032,Hendra Nugroho,1,1,4,3,0
33,ID-033,Mega Rahayu,1,1,2,2,1
34,ID-034,Mega Wibowo,1,1,0,0,0
35,ID-035,Hendra Wibowo,1,1,1,0,0
36,ID-036,Chandra Setiawan,1,1,0,0,0
37,ID-037,Citra Susanto,1,1,0,0,0
38,ID-038,Vina Anggraini,1,1,1,1,1
39,ID-039,Adit Hidayat,1,1,5,4,2
40,ID-040,Tono Anggraini,1,1,4,2,1
41,ID-041,Ahmad Kusuma,1,1,3,2,0
42,ID-042,Eka Suharto,1,1,5,4,4
43,ID-043,Dewi Permana,1,1,2,0,0
44,ID-044,Fajar Wahyuni,1,1,3,3,3
45,ID-045,Yulia Lestari,1,1,5,2,0
46,ID-046,Citra Rahayu,1,1,1,1,1
47,ID-047,Gita Santoso,1,1,4,3,0
48,ID-048,Citra Salim,1,1,2,2,0
49,ID-049,Lestari Nugroho,1,1,0,0,0
50,ID-050,Chandra Saputra,1,1,5,5,3

