id,idNumber,name,isPresent,isIncluded,timesSelected,timesAnswered,timesCorrect
1,ID-001,Eka Indrawan,1,1,2,2,2
2,ID-002,Budi Hidayat,1,1,5,0,0
3,ID-003,Kartika Rahman,1,1,5,2,2
4,ID-004,Fajar Rahayu,1,1,4,0,0
5,ID-005,Zainal Wibowo,1,1,0,0,0
6,ID-006,Adit Pratama,1,1,3,3,3
7,ID-007,Budi Nugroho,1,1,2,1,1
8,ID-008,Oscar Utomo,1,1,5,4,1
9,ID-009,Nina Pratama,1,1,0,0,0
10,ID-010,Surya Yulianto,1,1,5,2,1
11,ID-011,Lestari Rahman,1,1,0,0,0
12,ID-012,Eka Wijaya,1,1,2,1,0
13,ID-013,Rina Rahayu,1,1,1,1,1
14,ID-014,Rina Pratama,1,1,3,1,1
15,ID-015,Dian Wahyuni,1,1,4,4,3
16,ID-016,Surya Utomo,1,1,1,1,1
17,ID-017,Citra Wijaya,1,1,4,4,4
18,ID-018,Joko Kusuma,1,1,0,0,0
19,ID-019,Endang Wibowo,1,1,2,0,0
20,ID-020,Gita Hidayat,1,1,3,3,0
21,ID-021,Putri Wibowo,1,1,5,5,5
22,ID-022,Budi Riyadi,1,1,0,0,0
23,ID-023,Bayu Astuti,1,1,2,1,0
24,ID-024,Surya Suharto,1,1,5,4,2
25,ID-025,Nina Indrawan,1,1,4,3,2
26,ID-026,Putri Nugroho,1,1,2,1,1
27,ID-027,Budi Anggraini,1,1,2,2,1
28,ID-028,Bayu Permana,1,1,3,0,0
29,ID-029,Budi Mulyadi,1,1,1,1,0
30,ID-030,Dewi Wibowo,1,1,2,0,0
31,ID-031,Oscar Wijaya,1,1,5,0,0
32,ID-032,Hendra Saputri,1,1,3,2,0
33,ID-033,Endang Kurniawan,1,1,4,2,1
34,ID-034,Putri Saputra,1,1,4,1,0
35,ID-035,Rina Handayani,1,1,5,2,0
36,ID-036,Dian Yulianto,1,1,1,0,0
37,ID-037,Gita Kurniawan,1,1,4,3,2
38,ID-038,Tono Handayani,1,1,2,2,0
39,ID-039,Citra Saputri,1,1,0,0,0
40,ID-040,Bayu Pratama,1,1,0,0,0

