id,idNumber,name,isPresent,isIncluded,timesSelected,timesAnswered,timesCorrect
1,ID-001,Lestari Rahayu,1,1,3,2,2
2,ID-002,Gita Saputra,1,1,2,0,0
3,ID-003,Fajar Saputra,1,1,1,1,0
4,ID-004,Nina Salim,1,1,3,3,2
5,ID-005,Rina Riyadi,1,1,3,0,0
6,ID-006,Mega Wahyuni,1,1,3,3,1
7,ID-007,Fitri Susanto,1,1,4,1,1
8,ID-008,Zainal Astuti,1,1,5,2,2
9,ID-009,Budi Suharto,1,1,4,4,2
10,ID-010,Citra Saputri,1,1,4,3,0
11,ID-011,Bayu Hidayat,1,1,4,1,0
12,ID-012,Fajar Indrawan,1,1,5,5,4
13,ID-013,Adit Saputra,1,1,1,0,0
14,ID-014,Mega Santoso,1,1,0,0,0
15,ID-015,Budi Suharto,1,1,3,2,2
16,ID-016,Dewi Mulyadi,1,1,3,1,0
17,ID-017,Joko Wahyuni,1,1,1,1,1
18,ID-018,Tono Purnomo,1,1,3,1,1
19,ID-019,Lestari Yulianto,1,1,4,0,0
20,ID-020,Fitri Handayani,1,1,0,0,0
21,ID-021,Citra Utomo,1,1,4,4,4
22,ID-022,Wahyu Rahayu,1,1,2,2,1
23,ID-023,Wahyu Saputri,1,1,5,2,1
24,ID-024,Wahyu Suharto,1,1,2,0,0
25,ID-025,Budi Saputra,1,1,1,0,0
26,ID-026,Dian Susanto,1,1,1,1,0
27,ID-027,Gita Pratiwi,1,1,2,1,1
28,ID-028,Gita Wahyuni,1,1,1,1,1
29,ID-029,Hendra Rahman,1,1,1,1,1
30,ID-030,Oscar Hidayat,1,1,2,1,1

