id,idNumber,name,isPresent,isIncluded,timesSelected,timesAnswered,timesCorrect
1,ID-001,Hendra Permana,1,1,5,3,0
2,ID-002,Ahmad Santoso,1,1,4,0,0
3,ID-003,Lestari Kusuma,1,1,4,1,0
4,ID-004,Vina Yulianto,1,1,4,4,0
5,ID-005,Fajar Indrawan,1,1,1,0,0
6,ID-006,Eka Handayani,1,1,3,3,3
7,ID-007,Mega Anggraini,1,1,4,1,1
8,ID-008,Budi Rahman,1,1,1,1,1
9,ID-009,Vina Kusuma,1,1,5,2,0
10,ID-010,Rina Indrawan,1,1,1,0,0
11,ID-011,Chandra Riyadi,1,1,5,4,3
12,ID-012,Fitri Setiawan,1,1,2,2,1
13,ID-013,Lestari Wahyuni,1,1,0,0,0
14,ID-014,Yulia Riyadi,1,1,1,0,0
15,ID-015,Ahmad Lestari,1,1,2,0,0
16,ID-016,Putri Astuti,1,1,4,2,0
17,ID-017,Lestari Susanto,1,1,5,0,0
18,ID-018,Lestari Saputri,1,1,1,1,1
19,ID-019,Citra Nugroho,1,1,2,1,1
20,ID-020,Fajar Pratama,1,1,0,0,0
21,ID-021,Zainal Kusuma,1,1,4,3,0
22,ID-022,Oscar Riyadi,1,1,0,0,0
23,ID-023,Mega Indrawan,1,1,0,0,0
24,ID-024,Gita Susanto,1,1,5,4,2
25,ID-025,Eka Hidayat,1,1,3,1,1
26,ID-026,Zainal Salim,1,1,1,0,0
27,ID-027,Joko Suharto,1,1,1,1,1
28,ID-028,Oscar Rahayu,1,1,3,0,0
29,ID-029,Eka Wibowo,1,1,0,0,0
30,ID-030,Kartika Kurniawan,1,1,0,0,0
31,ID-031,Fajar Saputra,1,1,5,4,0
32,ID-032,Citra Mulyadi,1,1,1,1,0
33,ID-033,Vina Rahman,1,1,0,0,0
34,ID-034,Hendra Santoso,1,1,4,3,1
35,ID-035,Indah Wahyuni,1,1,2,1,1
36,ID-036,Yulia Nugroho,1,1,2,0,0
37,ID-037,Fajar Lestari,1,1,4,2,0
38,ID-038,Surya Pratiwi,1,1,3,1,1
39,ID-039,Zainal Kurniawan,1,1,5,4,3
40,ID-040,Lestari Santoso,1,1,1,1,1
41,ID-041,Putri Handayani,1,1,4,1,1
42,ID-042,Vina Susanto,1,1,2,2,0
43,ID-043,Adit Sari,1,1,1,0,0
44,ID-044,Surya Rahayu,1,1,5,5,3
45,ID-045,Lestari Hidayat,1,1,4,4,2
46,ID-046,Putri Kusuma,1,1,5,1,0
47,ID-047,Utami Nugroho,1,1,1,0,0
48,ID-048,Indah Handayani,1,1,0,0,0
49,ID-049,Citra Wahyuni,1,1,2,2,0
50,ID-050,Surya Nugroho,1,1,3,1,0
51,ID-051,Utami Nugroho,1,1,4,2,1
52,ID-052,Oscar Santoso,1,1,4,2,2
53,ID-053,Mega Rahayu,1,1,3,1,1
54,ID-054,Endang Sari,1,1,1,0,0
55,ID-055,Kartika Sari,1,1,2,2,0
56,ID-056,Vina Nugroho,1,1,3,3,3
57,ID-057,Eka Anggraini,1,1,1,1,0
58,ID-058,Kartika Hidayat,1,1,1,1,1
59,ID-059,Tono Pratama,1,1,3,2,1
60,ID-060,Citra Salim,1,1,4,1,1

