id,idNumber,name,isPresent,isIncluded,timesSelected,timesAnswered,timesCorrect
1,ID-001,Vina Suharto,1,1,3,1,0
2,ID-002,Utami Rahman,1,1,5,5,4
3,ID-003,Fajar Rahayu,1,1,5,2,2
4,ID-004,Chandra Riyadi,1,1,2,0,0
5,ID-005,Dian Handayani,1,1,4,0,0
6,ID-006,Hendra Salim,1,1,0,0,0
7,ID-007,Lestari Hidayat,1,1,0,0,0
8,ID-008,Mega Permana,1,1,2,1,0
9,ID-009,Indah Susanto,1,1,1,1,0
10,ID-010,Utami Permana,1,1,5,4,2
11,ID-011,Dian Wibowo,1,1,2,0,0
12,ID-012,Dewi Suharto,1,1,4,0,0
13,ID-013,Tono Lestari,1,1,2,1,0
14,ID-014,Fitri Yulianto,1,1,2,0,0
15,ID-015,Yulia Purnomo,1,1,3,0,0
16,ID-016,Gita Suharto,1,1,5,0,0
17,ID-017,Budi Yulianto,1,1,2,1,0
18,ID-018,Adit Hidayat,1,1,0,0,0
19,ID-019,Lestari Wibowo,1,1,2,0,0
20,ID-020,Dewi Riyadi,1,1,0,0,0
21,ID-021,Surya Sari,1,1,5,4,0
22,ID-022,Eka Permana,1,1,0,0,0
23,ID-023,Bayu Wahyuni,1,1,2,1,0
24,ID-024,Tono Santoso,1,1,2,1,1
25,ID-025,Eka Salim,1,1,1,0,0
26,ID-026,Endang Suharto,1,1,1,0,0
27,ID-027,Adit Permana,1,1,1,0,0
28,ID-028,Nina Rahman,1,1,5,2,0
29,ID-029,Oscar Kusuma,1,1,4,0,0
30,ID-030,Indah Purnomo,1,1,0,0,0
31,ID-031,Vina Handayani,1,1,4,0,0
32,ID-032,Dian Setiawan,1,1,4,0,0
33,ID-033,Budi Rahman,1,1,3,3,2
34,ID-034,Utami Santoso,1,1,0,0,0
35,ID-035,Mega Yulianto,1,1,4,4,4
36,ID-036,Dewi Wibowo,1,1,0,0,0
37,ID-037,Endang Kusuma,1,1,0,0,0
38,ID-038,Vina Hidayat,1,1,2,0,0
39,ID-039,Utami Anggraini,1,1,0,0,0
40,ID-040,Lestari Purnomo,1,1,1,1,0
41,ID-041,Lestari Indrawan,1,1,1,1,0
42,ID-042,Gita Wibowo,1,1,5,3,2
43,ID-043,Tono Sari,1,1,5,3,3
44,ID-044,Indah Saputri,1,1,0,0,0
45,ID-045,Fitri Nugroho,1,1,4,3,2
46,ID-046,Gita Kusuma,1,1,1,0,0
47,ID-047,Eka Salim,1,1,3,2,0
48,ID-048,Budi Astuti,1,1,2,2,2
49,ID-049,Endang Setiawan,1,1,0,0,0
50,ID-050,Bayu Salim,1,1,1,1,0
51,ID-051,Surya Handayani,1,1,0,0,0
52,ID-052,Yulia Wahyuni,1,1,0,0,0
53,ID-053,Kartika Yulianto,1,1,0,0,0
54,ID-054,Utami Pratama,1,1,5,3,3
55,ID-055,Budi Rahman,1,1,4,1,1
56,ID-056,Hendra Suharto,1,1,2,2,0
57,ID-057,Vina Salim,1,1,0,0,0
58,ID-058,Vina Lestari,1,1,0,0,0
59,ID-059,Rina Permana,1,1,0,0,0
60,ID-060,Endang Setiawan,1,1,2,2,0
61,ID-061,Citra Wibowo,1,1,3,0,0
62,ID-062,Indah Indrawan,1,1,4,4,1
63,ID-063,Kartika Permana,1,1,2,0,0
64,ID-064,Kartika Yulianto,1,1,3,2,2
65,ID-065,Joko Purnomo,1,1,2,0,0
66,ID-066,Bayu Yulianto,1,1,5,5,2
67,ID-067,Bayu Kusuma,1,1,2,0,0
68,ID-068,Mega Sari,1,1,5,5,5
69,ID-069,Dian Handayani,1,1,2,2,0
70,ID-070,Ahmad Rahayu,1,1,3,3,0
71,ID-071,Yulia Sari,1,1,5,2,2
72,ID-072,Nina Riyadi,1,1,3,2,0
73,ID-073,Gita Saputri,1,1,3,3,2
74,ID-074,Tono Lestari,1,1,3,2,0
75,ID-075,Hendra Purnomo,1,1,5,4,1
76,ID-076,Mega Mulyadi,1,1,0,0,0
77,ID-077,Zainal Indrawan,1,1,0,0,0
78,ID-078,Indah Utomo,1,1,3,3,2
79,ID-079,Chandra Indrawan,1,1,3,3,0
80,ID-080,Hendra Riyadi,1,1,4,0,0
81,ID-081,Wahyu Wahyuni,1,1,0,0,0
82,ID-082,Nina Indrawan,1,1,2,0,0
83,ID-083,Yulia Pratama,1,1,0,0,0
84,ID-084,Ahmad Setiawan,1,1,5,1,0
85,ID-085,Zainal Wibowo,1,1,1,0,0
86,ID-086,Dian Purnomo,1,1,1,1,1
87,ID-087,Zainal Saputra,1,1,1,0,0
88,ID-088,Nina Utomo,1,1,1,1,0
89,ID-089,Bayu Permana,1,1,3,3,2
90,ID-090,Ahmad Rahayu,1,1,4,4,3

